,name,colors,manaValue,power,toughness,text,rarity,keywords,supertypes,types,subtypes
284,Blighted Bat,B,3.0,2.0,1.0,"Flying
{1}: Blighted Bat gains haste until end of turn.",common,Flying,,Creature,"Zombie, Bat"
285,Bone Picker,B,4.0,3.0,2.0,"This spell costs {3} less to cast if a creature died this turn.
Flying, deathtouch",uncommon,"Deathtouch, Flying",,Creature,Bird
286,Bontu the Glorified,B,3.0,4.0,6.0,"Menace, indestructible
Bontu the Glorified can't attack or block unless a creature died under your control this turn.
{1}{B}, Sacrifice another creature: Scry 1. Each opponent loses 1 life and you gain 1 life.",mythic,"Indestructible, Menace, Scry",Legendary,Creature,God
287,Cursed Minotaur,B,3.0,3.0,2.0,Menace (This creature can't be blocked except by two or more creatures.),common,Menace,,Creature,"Zombie, Minotaur"
288,Doomed Dissenter,B,2.0,1.0,1.0,"When Doomed Dissenter dies, create a 2/2 black Zombie creature token.",common,,,Creature,Human
289,Dread Wanderer,B,1.0,2.0,1.0,"Dread Wanderer enters the battlefield tapped.
{2}{B}: Return Dread Wanderer from your graveyard to the battlefield. Activate only as a sorcery and only if you have one or fewer cards in hand.",rare,,,Creature,"Zombie, Jackal"
290,Dune Beetle,B,2.0,1.0,4.0,,common,,,Creature,Insect
291,Festering Mummy,B,1.0,1.0,1.0,"When Festering Mummy dies, you may put a -1/-1 counter on target creature.",common,,,Creature,Zombie
292,Gravedigger,B,4.0,2.0,2.0,"When Gravedigger enters the battlefield, you may return target creature card from your graveyard to your hand.",uncommon,,,Creature,Zombie
293,Grim Strider,B,4.0,6.0,6.0,Grim Strider gets -1/-1 for each card in your hand.,uncommon,,,Creature,Horror
294,Horror of the Broken Lands,B,5.0,4.0,4.0,"Whenever you cycle or discard another card, Horror of the Broken Lands gets +2/+1 until end of turn.
Cycling {B} ({B}, Discard this card: Draw a card.)",common,Cycling,,Creature,Horror
295,Lord of the Accursed,B,3.0,2.0,3.0,"Other Zombies you control get +1/+1.
{1}{B}, {T}: All Zombies gain menace until end of turn.",uncommon,,,Creature,Zombie
296,Miasmic Mummy,B,2.0,2.0,2.0,"When Miasmic Mummy enters the battlefield, each player discards a card.",common,,,Creature,"Zombie, Jackal"
297,Pitiless Vizier,B,4.0,4.0,2.0,"Whenever you cycle or discard a card, Pitiless Vizier gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it. If its toughness is 0 or less, it's still put into its owner's graveyard.)",common,,,Creature,"Minotaur, Cleric"
298,Plague Belcher,B,3.0,5.0,4.0,"Menace
When Plague Belcher enters the battlefield, put two -1/-1 counters on target creature you control.
Whenever another Zombie you control dies, each opponent loses 1 life.",rare,Menace,,Creature,"Zombie, Beast"
299,Ruthless Sniper,B,1.0,1.0,2.0,"Whenever you cycle or discard a card, you may pay {1}. If you do, put a -1/-1 counter on target creature.",uncommon,,,Creature,"Human, Archer"
300,Soulstinger,B,4.0,4.0,5.0,"When Soulstinger enters the battlefield, put two -1/-1 counters on target creature you control.
When Soulstinger dies, you may put a -1/-1 counter on target creature for each -1/-1 counter on Soulstinger.",common,,,Creature,"Scorpion, Demon"
301,Wasteland Scorpion,B,3.0,2.0,2.0,"Deathtouch
Cycling {2} ({2}, Discard this card: Draw a card.)",common,"Cycling, Deathtouch",,Creature,Scorpion
302,Ahn-Crop Crasher,R,3.0,3.0,2.0,"Haste
You may exert Ahn-Crop Crasher as it attacks. When you do, target creature can't block this turn. (An exerted creature won't untap during your next untap step.)",uncommon,"Exert, Haste",,Creature,"Minotaur, Warrior"
303,Battlefield Scavenger,R,2.0,2.0,2.0,"You may exert Battlefield Scavenger as it attacks. (It won't untap during your next untap step.)
Whenever you exert a creature, you may discard a card. If you do, draw a card.",uncommon,Exert,,Creature,"Jackal, Rogue"
304,Bloodlust Inciter,R,1.0,1.0,1.0,{T}: Target creature gains haste until end of turn.,common,,,Creature,"Human, Warrior"
305,Bloodrage Brawler,R,2.0,4.0,3.0,"When Bloodrage Brawler enters the battlefield, discard a card.",uncommon,,,Creature,"Minotaur, Warrior"
306,Combat Celebrant,R,3.0,4.0,1.0,"If Combat Celebrant hasn't been exerted this turn, you may exert it as it attacks. When you do, untap all other creatures you control and after this phase, there is an additional combat phase. (An exerted creature won't untap during your next untap step.)",mythic,Exert,,Creature,"Human, Warrior"
307,Desert Cerodon,R,6.0,6.0,4.0,"Cycling {R} ({R}, Discard this card: Draw a card.)",common,Cycling,,Creature,Beast
308,Emberhorn Minotaur,R,4.0,4.0,3.0,"You may exert Emberhorn Minotaur as it attacks. When you do, it gets +1/+1 and gains menace until end of turn. (An exerted creature won't untap during your next untap step.)",common,Exert,,Creature,"Minotaur, Warrior"
309,Flameblade Adept,R,1.0,1.0,2.0,"Menace
Whenever you cycle or discard a card, Flameblade Adept gets +1/+0 until end of turn.",uncommon,Menace,,Creature,"Jackal, Warrior"
310,Glorybringer,R,5.0,4.0,4.0,"Flying, haste
You may exert Glorybringer as it attacks. When you do, it deals 4 damage to target non-Dragon creature an opponent controls. (An exerted creature won't untap during your next untap step.)",rare,"Exert, Flying, Haste",,Creature,Dragon
311,Harsh Mentor,R,2.0,2.0,2.0,"Whenever an opponent activates an ability of an artifact, creature, or land on the battlefield, if it isn't a mana ability, Harsh Mentor deals 2 damage to that player.",rare,,,Creature,"Human, Cleric"
312,Hazoret the Fervent,R,4.0,5.0,4.0,"Indestructible, haste
Hazoret the Fervent can't attack or block unless you have one or fewer cards in hand.
{2}{R}, Discard a card: Hazoret deals 2 damage to each opponent.",mythic,"Haste, Indestructible",Legendary,Creature,God
313,Heart-Piercer Manticore,R,4.0,4.0,3.0,"When Heart-Piercer Manticore enters the battlefield, you may sacrifice another creature. When you do, Heart-Piercer Manticore deals damage equal to that creature's power to any target.
Embalm {5}{R} ({5}{R}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Manticore with no mana cost. Embalm only as a sorcery.)",rare,Embalm,,Creature,Manticore
314,Hyena Pack,R,4.0,3.0,4.0,,common,,,Creature,Hyena
315,Manticore of the Gauntlet,R,5.0,5.0,4.0,"When Manticore of the Gauntlet enters the battlefield, put a -1/-1 counter on target creature you control. Manticore of the Gauntlet deals 3 damage to target opponent or planeswalker.",common,,,Creature,Manticore
316,Minotaur Sureshot,R,3.0,2.0,3.0,"Reach (This creature can block creatures with flying.)
{1}{R}: Minotaur Sureshot gets +1/+0 until end of turn.",common,Reach,,Creature,"Minotaur, Archer"
317,Nef-Crop Entangler,R,2.0,2.0,1.0,"Trample
You may exert Nef-Crop Entangler as it attacks. When you do, it gets +1/+2 until end of turn. (An exerted creature won't untap during your next untap step.)",common,"Exert, Trample",,Creature,"Human, Warrior"
318,Nimble-Blade Khenra,R,2.0,1.0,3.0,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)",common,Prowess,,Creature,"Jackal, Warrior"
319,Pathmaker Initiate,R,2.0,2.0,1.0,{T}: Target creature with power 2 or less can't be blocked this turn.,common,,,Creature,"Human, Wizard"
320,Soul-Scar Mage,R,1.0,1.0,2.0,"Prowess
If a source you control would deal noncombat damage to a creature an opponent controls, put that many -1/-1 counters on that creature instead.",rare,Prowess,,Creature,"Human, Wizard"
321,Thresher Lizard,R,3.0,3.0,2.0,Thresher Lizard gets +1/+2 as long as you have one or fewer cards in hand.,common,,,Creature,Lizard
322,Trueheart Twins,R,5.0,4.0,4.0,"You may exert Trueheart Twins as it attacks. (It won't untap during your next untap step.)
Whenever you exert a creature, creatures you control get +1/+0 until end of turn.",uncommon,Exert,,Creature,"Jackal, Warrior"
323,Warfire Javelineer,R,4.0,2.0,3.0,"When Warfire Javelineer enters the battlefield, it deals X damage to target creature an opponent controls, where X is the number of instant and sorcery cards in your graveyard.",uncommon,,,Creature,"Minotaur, Warrior"
324,Bitterblade Warrior,G,2.0,2.0,2.0,"You may exert Bitterblade Warrior as it attacks. When you do, it gets +1/+0 and gains deathtouch until end of turn. (An exerted creature won't untap during your next untap step.)",common,Exert,,Creature,"Jackal, Warrior"
325,Champion of Rhonas,G,4.0,3.0,3.0,"You may exert Champion of Rhonas as it attacks. When you do, you may put a creature card from your hand onto the battlefield. (An exerted creature won't untap during your next untap step.)",rare,Exert,,Creature,"Jackal, Warrior"
326,Channeler Initiate,G,2.0,3.0,4.0,"When Channeler Initiate enters the battlefield, put three -1/-1 counters on target creature you control.
{T}, Remove a -1/-1 counter from Channeler Initiate: Add one mana of any color.",rare,,,Creature,"Human, Druid"
327,Colossapede,G,5.0,5.0,5.0,,common,,,Creature,Insect
328,Crocodile of the Crossing,G,4.0,5.0,4.0,"Haste
When Crocodile of the Crossing enters the battlefield, put a -1/-1 counter on target creature you control.",uncommon,Haste,,Creature,Crocodile
329,Defiant Greatmaw,G,3.0,4.0,5.0,"When Defiant Greatmaw enters the battlefield, put two -1/-1 counters on target creature you control.
Whenever you put one or more -1/-1 counters on Defiant Greatmaw, remove a -1/-1 counter from another target creature you control.",uncommon,,,Creature,Hippo
330,Exemplar of Strength,G,2.0,4.0,4.0,"When Exemplar of Strength enters the battlefield, put three -1/-1 counters on target creature you control.
Whenever Exemplar of Strength attacks, remove a -1/-1 counter from it. If you do, you gain 1 life.",uncommon,,,Creature,"Human, Warrior"
331,Giant Spider,G,4.0,2.0,4.0,Reach (This creature can block creatures with flying.),common,Reach,,Creature,Spider
332,Greater Sandwurm,G,7.0,7.0,7.0,"Greater Sandwurm can't be blocked by creatures with power 2 or less.
Cycling {2} ({2}, Discard this card: Draw a card.)",common,Cycling,,Creature,Wurm
333,Honored Hydra,G,6.0,6.0,6.0,"Trample
Embalm {3}{G} ({3}{G}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Snake Hydra with no mana cost. Embalm only as a sorcery.)",rare,"Embalm, Trample",,Creature,"Snake, Hydra"
334,Hooded Brawler,G,3.0,3.0,2.0,"You may exert Hooded Brawler as it attacks. When you do, it gets +2/+2 until end of turn. (An exerted creature won't untap during your next untap step.)",common,Exert,,Creature,"Naga, Warrior"
335,Initiate's Companion,G,2.0,3.0,1.0,"Whenever Initiate's Companion deals combat damage to a player, untap target creature or land.",common,,,Creature,Cat
336,Manglehorn,G,3.0,2.0,2.0,"When Manglehorn enters the battlefield, you may destroy target artifact.
Artifacts your opponents control enter the battlefield tapped.",uncommon,,,Creature,Beast
337,Naga Vitalist,G,2.0,1.0,2.0,{T}: Add one mana of any type that a land you control could produce.,common,,,Creature,"Naga, Druid"
338,Oashra Cultivator,G,1.0,0.0,3.0,"{2}{G}, {T}, Sacrifice Oashra Cultivator: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",common,,,Creature,"Human, Druid"
339,Ornery Kudu,G,3.0,3.0,4.0,"When Ornery Kudu enters the battlefield, put a -1/-1 counter on target creature you control.",common,,,Creature,Antelope
340,Pouncing Cheetah,G,3.0,3.0,2.0,Flash,common,Flash,,Creature,Cat
341,Prowling Serpopard,G,3.0,4.0,3.0,"This spell can't be countered.
Creature spells you control can't be countered.",rare,,,Creature,"Cat, Snake"
342,Quarry Hauler,G,4.0,4.0,3.0,"When Quarry Hauler enters the battlefield, for each kind of counter on target permanent, put another counter of that kind on it or remove one from it.",common,,,Creature,Camel
343,Rhonas the Indomitable,G,3.0,5.0,5.0,"Deathtouch, indestructible
Rhonas the Indomitable can't attack or block unless you control another creature with power 4 or greater.
{2}{G}: Another target creature gets +2/+0 and gains trample until end of turn.",mythic,"Deathtouch, Indestructible",Legendary,Creature,God
344,Scaled Behemoth,G,6.0,6.0,7.0,Hexproof (This creature can't be the target of spells or abilities your opponents control.),uncommon,Hexproof,,Creature,Crocodile
345,Shefet Monitor,G,6.0,6.0,5.0,"Cycling {3}{G} ({3}{G}, Discard this card: Draw a card.)
When you cycle Shefet Monitor, you may search your library for a basic land card or a Desert card, put it onto the battlefield, then shuffle. (Do this before you draw.)",uncommon,Cycling,,Creature,Lizard
346,Vizier of the Menagerie,G,4.0,3.0,4.0,"You may look at the top card of your library any time.
You may cast creature spells from the top of your library.
You may spend mana as though it were mana of any type to cast creature spells.",mythic,,,Creature,"Naga, Cleric"
347,Watchful Naga,G,3.0,2.0,2.0,"You may exert Watchful Naga as it attacks. When you do, draw a card. (An exerted creature won't untap during your next untap step.)",uncommon,Exert,,Creature,"Naga, Wizard"
348,Ahn-Crop Champion,"G, W",4.0,4.0,4.0,"You may exert Ahn-Crop Champion as it attacks. When you do, untap all other creatures you control. (An exerted creature won't untap during your next untap step.)",uncommon,Exert,,Creature,"Human, Warrior"
349,Aven Wind Guide,"U, W",4.0,2.0,3.0,"Flying, vigilance
Creature tokens you control have flying and vigilance.
Embalm {4}{W}{U} ({4}{W}{U}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Bird Warrior with no mana cost. Embalm only as a sorcery.)",uncommon,"Embalm, Flying, Vigilance",,Creature,"Bird, Warrior"
350,Decimator Beetle,"B, G",5.0,4.0,5.0,"When Decimator Beetle enters the battlefield, put a -1/-1 counter on target creature you control.
Whenever Decimator Beetle attacks, remove a -1/-1 counter from target creature you control and put a -1/-1 counter on up to one target creature defending player controls.",uncommon,,,Creature,Insect
351,"Hapatra, Vizier of Poisons","B, G",2.0,2.0,2.0,"Whenever Hapatra, Vizier of Poisons deals combat damage to a player, you may put a -1/-1 counter on target creature.
Whenever you put one or more -1/-1 counters on a creature, create a 1/1 green Snake creature token with deathtouch.",rare,,Legendary,Creature,"Human, Cleric"
352,Honored Crop-Captain,"R, W",2.0,3.0,2.0,"Whenever Honored Crop-Captain attacks, other attacking creatures get +1/+0 until end of turn.",uncommon,,,Creature,"Human, Warrior"
353,Khenra Charioteer,"G, R",3.0,3.0,3.0,"Trample
Other creatures you control have trample.",uncommon,Trample,,Creature,"Jackal, Warrior"
354,Merciless Javelineer,"B, R",4.0,4.0,2.0,"{2}, Discard a card: Put a -1/-1 counter on target creature. That creature can't block this turn.",uncommon,,,Creature,"Minotaur, Warrior"
355,"Neheb, the Worthy","B, R",3.0,2.0,2.0,"First strike
Other Minotaurs you control have first strike.
As long as you have one or fewer cards in hand, Minotaurs you control get +2/+0.
Whenever Neheb, the Worthy deals combat damage to a player, each player discards a card.",rare,First strike,Legendary,Creature,"Minotaur, Warrior"
356,"Samut, Voice of Dissent","G, R",5.0,3.0,4.0,"Flash
Double strike, vigilance, haste
Other creatures you control have haste.
{W}, {T}: Untap another target creature.",mythic,"Double strike, Flash, Haste, Vigilance",Legendary,Creature,"Human, Warrior"
357,Shadowstorm Vizier,"B, U",2.0,1.0,3.0,"Flying
Whenever you cycle or discard a card, Shadowstorm Vizier gets +1/+1 until end of turn.",uncommon,Flying,,Creature,"Human, Cleric"
358,"Temmet, Vizier of Naktamun","U, W",2.0,2.0,2.0,"At the beginning of combat on your turn, target creature token you control gets +1/+1 until end of turn and can't be blocked this turn.
Embalm {3}{W}{U} ({3}{W}{U}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Human Cleric with no mana cost. Embalm only as a sorcery.)",rare,Embalm,Legendary,Creature,"Human, Cleric"
359,Wayward Servant,"B, W",2.0,2.0,2.0,"Whenever another Zombie enters the battlefield under your control, each opponent loses 1 life and you gain 1 life.",uncommon,,,Creature,Zombie
360,Weaver of Currents,"G, U",3.0,2.0,2.0,{T}: Add {C}{C}.,uncommon,,,Creature,"Naga, Druid"
361,Watchers of the Dead,C,2.0,2.0,2.0,Exile Watchers of the Dead: Each opponent chooses two cards in their graveyard and exiles the rest.,uncommon,,,"Artifact, Creature",Cat
362,Companion of the Trials,W,3.0,2.0,2.0,"Flying
{1}{W}: Untap target creature. Activate only if you control a Gideon planeswalker.",uncommon,Flying,,Creature,"Bird, Soldier"
363,Graceful Cat,W,3.0,2.0,2.0,"Whenever Graceful Cat attacks, it gets +1/+1 until end of turn.",common,,,Creature,Cat
364,Desiccated Naga,B,3.0,3.0,2.0,{3}{B}: Target opponent loses 2 life and you gain 2 life. Activate only if you control a Liliana planeswalker.,uncommon,,,Creature,"Zombie, Naga"
365,Tattered Mummy,B,2.0,1.0,2.0,"When Tattered Mummy dies, each opponent loses 2 life.",common,,,Creature,"Zombie, Jackal"
366,Bane of Bala Ged,C,7.0,7.0,5.0,"Whenever Bane of Bala Ged attacks, defending player exiles two permanents they control.",uncommon,,,Creature,Eldrazi
367,Blight Herder,C,5.0,4.0,5.0,"When you cast this spell, you may put two cards your opponents own from exile into their owners' graveyards. If you do, create three 1/1 colorless Eldrazi Scion creature tokens. They have ""Sacrifice this creature: Add {C}.""",rare,,,Creature,"Eldrazi, Processor"
368,Breaker of Armies,C,8.0,10.0,8.0,All creatures able to block Breaker of Armies do so.,uncommon,,,Creature,Eldrazi
369,Conduit of Ruin,C,6.0,5.0,5.0,"When you cast this spell, you may search your library for a colorless creature card with mana value 7 or greater, reveal it, then shuffle and put that card on top.
The first creature spell you cast each turn costs {2} less to cast.",rare,,,Creature,Eldrazi
370,Deathless Behemoth,C,6.0,6.0,6.0,"Vigilance
Sacrifice two Eldrazi Scions: Return Deathless Behemoth from your graveyard to your hand. Activate only as a sorcery.",uncommon,Vigilance,,Creature,Eldrazi
371,Desolation Twin,C,10.0,10.0,10.0,"When you cast this spell, create a 10/10 colorless Eldrazi creature token.",rare,,,Creature,Eldrazi
372,Eldrazi Devastator,C,8.0,8.0,9.0,Trample,common,Trample,,Creature,Eldrazi
373,Kozilek's Channeler,C,5.0,4.0,4.0,{T}: Add {C}{C}.,common,,,Creature,Eldrazi
374,Oblivion Sower,C,6.0,5.0,8.0,"When you cast this spell, target opponent exiles the top four cards of their library, then you may put any number of land cards that player owns from exile onto the battlefield under your control.",mythic,,,Creature,Eldrazi
375,Ruin Processor,C,7.0,7.0,8.0,"When you cast this spell, you may put a card an opponent owns from exile into that player's graveyard. If you do, you gain 5 life.",common,,,Creature,"Eldrazi, Processor"
376,"Ulamog, the Ceaseless Hunger",C,10.0,10.0,10.0,"When you cast this spell, exile two target permanents.
Indestructible
Whenever Ulamog, the Ceaseless Hunger attacks, defending player exiles the top twenty cards of their library.",mythic,Indestructible,Legendary,Creature,Eldrazi
377,Ulamog's Despoiler,C,6.0,5.0,5.0,"As Ulamog's Despoiler enters the battlefield, you may put two cards your opponents own from exile into their owners' graveyards. If you do, Ulamog's Despoiler enters the battlefield with four +1/+1 counters on it.",uncommon,,,Creature,"Eldrazi, Processor"
378,Void Winnower,C,9.0,11.0,9.0,"Your opponents can't cast spells with even mana values. (Zero is even.)
Your opponents can't block with creatures with even mana values.",mythic,,,Creature,Eldrazi
379,Angel of Renewal,W,6.0,4.0,4.0,"Flying
When Angel of Renewal enters the battlefield, you gain 1 life for each creature you control.",uncommon,Flying,,Creature,"Angel, Ally"
380,Cliffside Lookout,W,1.0,1.0,1.0,{4}{W}: Creatures you control get +1/+1 until end of turn.,common,,,Creature,"Kor, Scout, Ally"
381,Courier Griffin,W,4.0,2.0,3.0,"Flying
When Courier Griffin enters the battlefield, you gain 2 life.",common,Flying,,Creature,Griffin
382,Emeria Shepherd,W,7.0,4.0,4.0,"Flying
Landfall — Whenever a land enters the battlefield under your control, you may return target nonland permanent card from your graveyard to your hand. If that land is a Plains, you may return that nonland permanent card to the battlefield instead.",rare,"Flying, Landfall",,Creature,Angel
383,Expedition Envoy,W,1.0,2.0,1.0,,uncommon,,,Creature,"Human, Scout, Ally"
384,Felidar Cub,W,2.0,2.0,2.0,Sacrifice Felidar Cub: Destroy target enchantment.,common,,,Creature,"Cat, Beast"
385,Felidar Sovereign,W,6.0,4.0,6.0,"Vigilance, lifelink
At the beginning of your upkeep, if you have 40 or more life, you win the game.",rare,"Lifelink, Vigilance",,Creature,"Cat, Beast"
386,Fortified Rampart,W,2.0,0.0,6.0,Defender,common,Defender,,Creature,Wall
387,Ghostly Sentinel,W,5.0,3.0,3.0,"Flying, vigilance",common,"Flying, Vigilance",,Creature,"Kor, Spirit"
388,Hero of Goma Fada,W,5.0,4.0,3.0,"Rally — Whenever Hero of Goma Fada or another Ally enters the battlefield under your control, creatures you control gain indestructible until end of turn.",rare,Rally,,Creature,"Human, Knight, Ally"
389,Kitesail Scout,W,1.0,1.0,1.0,Flying,common,Flying,,Creature,"Kor, Scout"
390,Kor Bladewhirl,W,2.0,2.0,2.0,"Rally — Whenever Kor Bladewhirl or another Ally enters the battlefield under your control, creatures you control gain first strike until end of turn.",uncommon,Rally,,Creature,"Kor, Soldier, Ally"
391,Kor Castigator,W,2.0,3.0,1.0,Kor Castigator can't be blocked by Eldrazi Scions.,common,,,Creature,"Kor, Wizard, Ally"
392,Kor Entanglers,W,5.0,3.0,4.0,"Rally — Whenever Kor Entanglers or another Ally enters the battlefield under your control, tap target creature an opponent controls.",uncommon,Rally,,Creature,"Kor, Soldier, Ally"
393,Lantern Scout,W,3.0,3.0,2.0,"Rally — Whenever Lantern Scout or another Ally enters the battlefield under your control, creatures you control gain lifelink until end of turn.",rare,Rally,,Creature,"Human, Scout, Ally"
394,Makindi Patrol,W,3.0,2.0,3.0,"Rally — Whenever Makindi Patrol or another Ally enters the battlefield under your control, creatures you control gain vigilance until end of turn.",common,Rally,,Creature,"Human, Knight, Ally"
395,Ondu Greathorn,W,4.0,2.0,3.0,"First strike
Landfall — Whenever a land enters the battlefield under your control, Ondu Greathorn gets +2/+2 until end of turn.",common,"First strike, Landfall",,Creature,Beast
396,Serene Steward,W,2.0,2.0,2.0,"Whenever you gain life, you may pay {W}. If you do, put a +1/+1 counter on target creature.",uncommon,,,Creature,"Human, Cleric, Ally"
397,Shadow Glider,W,3.0,2.0,2.0,Flying,common,Flying,,Creature,"Kor, Soldier"
398,Stone Haven Medic,W,2.0,1.0,3.0,"{W}, {T}: You gain 1 life.",common,,,Creature,"Kor, Cleric"
399,Benthic Infiltrator,C,3.0,1.0,4.0,"Devoid (This card has no color.)
Ingest (Whenever this creature deals combat damage to a player, that player exiles the top card of their library.)
Benthic Infiltrator can't be blocked.",common,"Devoid, Ingest",,Creature,"Eldrazi, Drone"
400,Cryptic Cruiser,C,4.0,3.0,3.0,"Devoid (This card has no color.)
{2}{U}, Put a card an opponent owns from exile into that player's graveyard: Tap target creature.",uncommon,Devoid,,Creature,"Eldrazi, Processor"
401,Drowner of Hope,C,6.0,5.0,5.0,"Devoid (This card has no color.)
When Drowner of Hope enters the battlefield, create two 1/1 colorless Eldrazi Scion creature tokens. They have ""Sacrifice this creature: Add {C}.""
Sacrifice an Eldrazi Scion: Tap target creature.",rare,Devoid,,Creature,Eldrazi
402,Eldrazi Skyspawner,C,3.0,2.0,1.0,"Devoid (This card has no color.)
Flying
When Eldrazi Skyspawner enters the battlefield, create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add {C}.""",common,"Devoid, Flying",,Creature,"Eldrazi, Drone"
403,Incubator Drone,C,4.0,2.0,3.0,"Devoid (This card has no color.)
When Incubator Drone enters the battlefield, create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add {C}.""",common,Devoid,,Creature,"Eldrazi, Drone"
404,Mist Intruder,C,2.0,1.0,2.0,"Devoid (This card has no color.)
Flying
Ingest (Whenever this creature deals combat damage to a player, that player exiles the top card of their library.)",common,"Devoid, Flying, Ingest",,Creature,"Eldrazi, Drone"
405,Murk Strider,C,4.0,3.0,2.0,"Devoid (This card has no color.)
When Murk Strider enters the battlefield, you may put a card an opponent owns from exile into that player's graveyard. If you do, return target creature to its owner's hand.",common,Devoid,,Creature,"Eldrazi, Processor"
406,Oracle of Dust,C,5.0,3.0,5.0,"Devoid (This card has no color.)
{2}, Put a card an opponent owns from exile into that player's graveyard: Draw a card, then discard a card.",common,Devoid,,Creature,"Eldrazi, Processor"
407,Ruination Guide,C,3.0,3.0,2.0,"Devoid (This card has no color.)
Ingest (Whenever this creature deals combat damage to a player, that player exiles the top card of their library.)
Other colorless creatures you control get +1/+0.",uncommon,"Devoid, Ingest",,Creature,"Eldrazi, Drone"
408,Salvage Drone,C,1.0,1.0,1.0,"Devoid (This card has no color.)
Ingest (Whenever this creature deals combat damage to a player, that player exiles the top card of their library.)
When Salvage Drone dies, you may draw a card. If you do, discard a card.",common,"Devoid, Ingest",,Creature,"Eldrazi, Drone"
409,Tide Drifter,C,2.0,0.0,5.0,"Devoid (This card has no color.)
Other colorless creatures you control get +0/+1.",uncommon,Devoid,,Creature,"Eldrazi, Drone"
410,Ulamog's Reclaimer,C,5.0,2.0,5.0,"Devoid (This card has no color.)
When Ulamog's Reclaimer enters the battlefield, you may put a card an opponent owns from exile into that player's graveyard. If you do, return target instant or sorcery card from your graveyard to your hand.",uncommon,Devoid,,Creature,"Eldrazi, Processor"
411,Cloud Manta,U,4.0,3.0,2.0,Flying,common,Flying,,Creature,Fish
412,Coralhelm Guide,U,2.0,2.0,1.0,{4}{U}: Target creature can't be blocked this turn.,common,,,Creature,"Merfolk, Scout, Ally"
413,Guardian of Tazeem,U,5.0,4.0,5.0,"Flying
Landfall — Whenever a land enters the battlefield under your control, tap target creature an opponent controls. If that land is an Island, that creature doesn't untap during its controller's next untap step.",rare,"Flying, Landfall",,Creature,Sphinx
414,Halimar Tidecaller,U,3.0,2.0,3.0,"When Halimar Tidecaller enters the battlefield, you may return target card with awaken from your graveyard to your hand.
Land creatures you control have flying.",uncommon,,,Creature,"Human, Wizard, Ally"
415,Wave-Wing Elemental,U,6.0,3.0,4.0,"Flying
Landfall — Whenever a land enters the battlefield under your control, Wave-Wing Elemental gets +2/+2 until end of turn.",common,"Flying, Landfall",,Creature,Elemental
416,Windrider Patrol,U,5.0,4.0,3.0,"Flying
Whenever Windrider Patrol deals combat damage to a player, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)",uncommon,"Flying, Scry",,Creature,"Merfolk, Wizard"
417,Culling Drone,C,2.0,2.0,2.0,"Devoid (This card has no color.)
Ingest (Whenever this creature deals combat damage to a player, that player exiles the top card of their library.)",common,"Devoid, Ingest",,Creature,"Eldrazi, Drone"
418,Dominator Drone,C,3.0,3.0,2.0,"Devoid (This card has no color.)
Ingest (Whenever this creature deals combat damage to a player, that player exiles the top card of their library.)
When Dominator Drone enters the battlefield, if you control another colorless creature, each opponent loses 2 life.",common,"Devoid, Ingest",,Creature,"Eldrazi, Drone"
419,Mind Raker,C,4.0,3.0,3.0,"Devoid (This card has no color.)
When Mind Raker enters the battlefield, you may put a card an opponent owns from exile into that player's graveyard. If you do, each opponent discards a card.",common,Devoid,,Creature,"Eldrazi, Processor"
420,Silent Skimmer,C,4.0,0.0,4.0,"Devoid (This card has no color.)
Flying
Whenever Silent Skimmer attacks, defending player loses 2 life.",common,"Devoid, Flying",,Creature,"Eldrazi, Drone"
421,Skitterskin,C,4.0,4.0,3.0,"Devoid (This card has no color.)
Skitterskin can't block.
{1}{B}: Regenerate Skitterskin. Activate only if you control another colorless creature.",uncommon,Devoid,,Creature,"Eldrazi, Drone"
422,Sludge Crawler,C,1.0,1.0,1.0,"Devoid (This card has no color.)
Ingest (Whenever this creature deals combat damage to a player, that player exiles the top card of their library.)
{2}: Sludge Crawler gets +1/+1 until end of turn.",common,"Devoid, Ingest",,Creature,"Eldrazi, Drone"
423,Smothering Abomination,C,4.0,4.0,3.0,"Devoid (This card has no color.)
Flying
At the beginning of your upkeep, sacrifice a creature.
Whenever you sacrifice a creature, draw a card.",rare,"Devoid, Flying",,Creature,Eldrazi
424,Wasteland Strangler,C,3.0,3.0,2.0,"Devoid (This card has no color.)
When Wasteland Strangler enters the battlefield, you may put a card an opponent owns from exile into that player's graveyard. If you do, target creature gets -3/-3 until end of turn.",rare,Devoid,,Creature,"Eldrazi, Processor"
